Skills,Tools,Clean up to:,This skill is also searchable by:,total_profiles_usage,added_by,is_depricated
ROI Reporting,No,,,3,,FALSE
Sales,No,,,3,,TRUE
SEM,No,,,3,,TRUE
Solution Design,No,,,3,,FALSE
Statistical Modeling,No,,,3,user,FALSE
strategy,No,,,3,,TRUE
UX,No,,,3,,TRUE
ad servers,No,,,2,,TRUE
AdTech,No,,,2,user,FALSE
Advertising,No,,,2,,TRUE
affiliate marketing,No,,,2,,TRUE
API,No,,,2,,TRUE
Big Query,No,BigQuery,,2,,TRUE
BigQuery,No,,,2,,TRUE
blockchain,No,,,2,user,FALSE
Business Analytics,No,,,2,,FALSE
Business Development,No,,,2,,TRUE
Closed Loop Analytics,No,,,2,,FALSE
communications,No,,,2,,TRUE
conversion rate optimisation,No,,,2,,TRUE
customer loyalty,No,,,2,,TRUE
Data,No,,,2,,TRUE
Data Analytics,No,,,2,,TRUE
Data Engineering,No,,,2,,TRUE
Data Pipelines,No,,,2,,FALSE
Data Wrangling,No,,,2,user,FALSE
data-driven marketing,No,,,2,,TRUE
Database Administration,No,,,2,,FALSE
deep learning,No,,,2,user,FALSE
digital advertising,No,,,2,,TRUE
Display Advertising,No,,,2,,TRUE
DMPs,No,,,2,,TRUE
Dynamic Creative,No,,,2,,TRUE
E-commerce,No,,,2,user,FALSE
eCommerce,No,,,2,,TRUE
Email Marketing,No,,,2,user,FALSE
Factor Analysis,No,,,2,user,FALSE
financial planning,No,,,2,,TRUE
Go To Market,No,,,2,user,FALSE
growth marketing,No,,,2,,TRUE
jQuery,No,,,2,,FALSE
Look-alike modelling,No,,,2,,FALSE
Mobile Advertising,No,,,2,,TRUE
Multivariate Testing,No,,,2,user,FALSE
MySQL,No,,,2,user,FALSE
Nodejs,No,,,2,,TRUE
Operations,No,,,2,,TRUE
predictive analytics,No,,,2,,TRUE
Predictive Modeling,No,,,2,user,FALSE
Program Management,No,,,2,,TRUE
Qualitative Research,No,,,2,,FALSE
R programming,No,,,2,user,FALSE
Retail,No,,,2,user,FALSE
sap,No,,,2,,TRUE
Search Engine Optimization,No,,,2,,TRUE
segmentation,No,,,2,,TRUE
Social Media Marketing,No,,,2,user,FALSE
Software Development,No,,,2,,TRUE
SQL Server,No,,,2,,TRUE
SSP,No,,,2,user,FALSE
Tag Management Systems,No,,,2,user,FALSE
Targeting,No,,,2,,TRUE
Team Management,No,,,2,user,FALSE
Technical SEO,No,,,2,,TRUE
testing,No,,,2,,TRUE
text analytics,No,,,2,,TRUE
tracking,No,,,2,,TRUE
usability,No,,,2,,TRUE
usability testing,No,,,2,,TRUE
ux testing,No,,,2,,TRUE
Vendor Management,No,,,2,user,FALSE
.NET,No,,,1,user,FALSE
1st party data,No,,,1,,TRUE
2nd party data,No,,,1,,TRUE
3rd party audience data,No,,,1,user,FALSE
3rd party data,No,,,1,,TRUE
A/B/n & Multivariate testing,No,A/B Testing,,1,user,FALSE
AARRR metrics,No,,,1,,TRUE
Access,No,,,1,user,FALSE
Account Management,No,,,1,,TRUE
Acquisition Marketing,No,,,1,user,FALSE
Activation Strategy,No,,,1,user,FALSE
Actuarial,No,,,1,user,FALSE
ad effectiveness measurement,No,Ad Effectiveness Measurement,,1,,TRUE
ad fraud,No,,,1,user,FALSE
ad serving,No,,,1,,TRUE
Ad Tech,No,,,1,user,FALSE
ad tech vendor analysis,No,,,1,user,FALSE
Ad technology assessment and selection,No,,,1,user,FALSE
Ad verification,No,,,1,,TRUE
adometry (attribution),No,Adometry,,1,,TRUE
Adservers,No,,,1,,TRUE
Advance excel,No,Advanced Excel,,1,user,FALSE
Advanced digital analytics,No,,,1,user,FALSE
advertising operations,No,,,1,,TRUE
advertising technologies,No,,,1,,TRUE
Advertising Technology,No,,,1,user,FALSE
Agency Ad Server,No,,,1,user,FALSE
Agile,No,,,1,user,FALSE
Agile practices,No,,,1,user,FALSE
agile project management,No,,,1,,TRUE
analytic,No,,,1,user,FALSE
analytic analysis,No,,,1,,TRUE
analytics analysis,No,,,1,,TRUE
analytics configuration,No,,,1,user,FALSE
analytics deployment,No,,,1,user,FALSE
analytics management,No,,,1,user,FALSE
analytics specification,No,,,1,user,FALSE
Analytics Tool set-up,No,,,1,user,FALSE
Angular,No,,,1,,TRUE
App Measurement,No,,,1,,TRUE
Application Services,No,,,1,user,FALSE
Architecture,No,,,1,,TRUE
AT Internet,No,,,1,user,FALSE
attribution,No,,,1,,TRUE
attribution platforms,No,,,1,,TRUE
Audience insights,No,,,1,job,FALSE
Audience strategy,No,,,1,user,FALSE
AudienceStream,No,,,1,,TRUE
Auditing,No,,,1,,TRUE
Automation,No,,,1,user,FALSE
Bayesian Statistics,No,,,1,user,FALSE
Best practices and knowledge transfer,No,,,1,user,FALSE
bid managers,No,,,1,,TRUE
big data analytics,No,,,1,,TRUE
Biostatistics,No,,,1,user,FALSE
Board advisory member,No,,,1,user,FALSE
brand development,No,,,1,,TRUE
brand strategy,No,,,1,user,FALSE
Branding,No,,,1,,TRUE
Business Analysis,No,,,1,user,FALSE
business analyst,No,,,1,,TRUE
Business Calculations,No,,,1,,TRUE
Business forecast,No,,,1,user,FALSE
Business objects,No,,,1,user,FALSE
Business Planning,No,,,1,user,FALSE
Business Process Automation,No,,,1,user,FALSE
Business Process Improvement,No,,,1,user,FALSE
Business Processes,No,,,1,user,FALSE
Business transformation,No,,,1,user,FALSE
Buyer Personas,No,,,1,user,FALSE
campaign monitor,No,,,1,,TRUE
Campaign Optimization,No,,,1,user,FALSE
capability assessment,No,,,1,user,FALSE
Capacity Management,No,,,1,,TRUE
Capacity Optimization,No,,,1,,TRUE
CartoDB,No,,,1,,TRUE
Causal Analysis,No,,,1,user,FALSE
